,0,1,2,Cluster_ID(3-means),age-interval(3-means),Cluster_ID(4-means),age-interval(4-means),Cluster_ID(5-means),age-interval(5-means),Cluster_ID(6-means),age-interval(6-means),Cluster_ID(7-means),age-interval(7-means),Cluster_ID(8-means),age-interval(8-means)
62,119195000000,19.2,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
63,119569000000,19.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
64,119910000000,15.0,'female',2,6 - 17,3,6 - 16,4,6 - 15,2,6 - 16,0,6 - 15,0,6 - 15
65,120159000000,19.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
66,120208000000,60.53935661,'male',0,42 - 86,1,51 - 86,1,56 - 86,5,50 - 64,1,51 - 64,6,52 - 65
67,120257000000,20.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
68,120396000000,8.1013,'male',2,6 - 17,3,6 - 16,4,6 - 15,2,6 - 16,0,6 - 15,0,6 - 15
69,120534000000,27.5,'male',1,17 - 42,0,16 - 29,3,24 - 37,4,24 - 34,2,22 - 28,7,25 - 31
70,121114000000,21.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
71,121237000000,32.5,'male',1,17 - 42,2,29 - 50,3,24 - 37,4,24 - 34,6,28 - 38,5,31 - 39
72,121316000000,34.36550308,'male',1,17 - 42,2,29 - 50,3,24 - 37,4,24 - 34,6,28 - 38,5,31 - 39
73,121725000000,33.51676934,'female',1,17 - 42,2,29 - 50,3,24 - 37,4,24 - 34,6,28 - 38,5,31 - 39
74,121738000000,25.0,'male',1,17 - 42,0,16 - 29,3,24 - 37,4,24 - 34,2,22 - 28,2,22 - 25
75,121916000000,72.5,'female',0,42 - 86,1,51 - 86,1,56 - 86,1,65 - 86,5,65 - 86,1,65 - 86
76,122613000000,10.8,'male',2,6 - 17,3,6 - 16,4,6 - 15,2,6 - 16,0,6 - 15,0,6 - 15
77,123320000000,11.50718686,'male',2,6 - 17,3,6 - 16,4,6 - 15,2,6 - 16,0,6 - 15,0,6 - 15
78,123362000000,25.12,'male',1,17 - 42,0,16 - 29,3,24 - 37,4,24 - 34,2,22 - 28,2,22 - 25
79,124641000000,21.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
80,124676000000,19.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
81,124729000000,67.5,'male',0,42 - 86,1,51 - 86,1,56 - 86,1,65 - 86,5,65 - 86,1,65 - 86
82,124881000000,45.38809035,'male',0,42 - 86,2,29 - 50,2,37 - 56,3,35 - 50,4,38 - 51,3,40 - 51
83,125026000000,23.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,2,22 - 28,2,22 - 25
84,125239000000,8.90684932,'female',2,6 - 17,3,6 - 16,4,6 - 15,2,6 - 16,0,6 - 15,0,6 - 15
85,125296000000,23.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,2,22 - 28,2,22 - 25
86,125354000000,27.5,'male',1,17 - 42,0,16 - 29,3,24 - 37,4,24 - 34,2,22 - 28,7,25 - 31
87,125581000000,24.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,2,22 - 28,2,22 - 25
88,125892000000,19.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
89,126225000000,23.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,2,22 - 28,2,22 - 25
90,126388000000,19.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
91,126474000000,45.229295,'female',0,42 - 86,2,29 - 50,2,37 - 56,3,35 - 50,4,38 - 51,3,40 - 51
92,126732000000,21.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
93,127025000000,19.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
94,127230000000,27.5,'female',1,17 - 42,0,16 - 29,3,24 - 37,4,24 - 34,2,22 - 28,7,25 - 31
95,127323000000,21.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
96,127621000000,19.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
97,127728000000,21.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
98,127990000000,11.8,'male',2,6 - 17,3,6 - 16,4,6 - 15,2,6 - 16,0,6 - 15,0,6 - 15
99,128924000000,72.5,'male',0,42 - 86,1,51 - 86,1,56 - 86,1,65 - 86,5,65 - 86,1,65 - 86
100,129453000000,19.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
101,129609000000,34.47775496,'female',1,17 - 42,2,29 - 50,3,24 - 37,4,24 - 34,6,28 - 38,5,31 - 39
102,130270000000,21.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
103,130282000000,25.0,'female',1,17 - 42,0,16 - 29,3,24 - 37,4,24 - 34,2,22 - 28,2,22 - 25
104,130489000000,22.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,2,22 - 25
105,130624000000,9.56438356,'male',2,6 - 17,3,6 - 16,4,6 - 15,2,6 - 16,0,6 - 15,0,6 - 15
106,130700000000,20.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
107,130730000000,17.79,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
108,130750000000,27.01437372,'female',1,17 - 42,0,16 - 29,3,24 - 37,4,24 - 34,2,22 - 28,7,25 - 31
109,131091000000,12.8739726,'male',2,6 - 17,3,6 - 16,4,6 - 15,2,6 - 16,0,6 - 15,0,6 - 15
110,131486000000,10.49,'male',2,6 - 17,3,6 - 16,4,6 - 15,2,6 - 16,0,6 - 15,0,6 - 15
111,132315000000,19.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
112,132529000000,11.0,'female',2,6 - 17,3,6 - 16,4,6 - 15,2,6 - 16,0,6 - 15,0,6 - 15
113,132625000000,27.5,'male',1,17 - 42,0,16 - 29,3,24 - 37,4,24 - 34,2,22 - 28,7,25 - 31
114,133105000000,25.0,'male',1,17 - 42,0,16 - 29,3,24 - 37,4,24 - 34,2,22 - 28,2,22 - 25
115,133292000000,29.0,'female',1,17 - 42,0,16 - 29,3,24 - 37,4,24 - 34,6,28 - 38,7,25 - 31
116,133342000000,69.28952772,'female',0,42 - 86,1,51 - 86,1,56 - 86,1,65 - 86,5,65 - 86,1,65 - 86
117,133560000000,42.0,'female',1,17 - 42,2,29 - 50,2,37 - 56,3,35 - 50,4,38 - 51,3,40 - 51
118,133871000000,12.0411,'male',2,6 - 17,3,6 - 16,4,6 - 15,2,6 - 16,0,6 - 15,0,6 - 15
119,134270000000,25.0,'female',1,17 - 42,0,16 - 29,3,24 - 37,4,24 - 34,2,22 - 28,2,22 - 25
120,134360000000,22.5,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,2,22 - 28,2,22 - 25
121,134584000000,23.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,2,22 - 28,2,22 - 25
122,134690000000,20.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
123,134999000000,23.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,2,22 - 28,2,22 - 25
124,135700000000,19.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
125,137109000000,11.0,'female',2,6 - 17,3,6 - 16,4,6 - 15,2,6 - 16,0,6 - 15,0,6 - 15
126,137115000000,28.0,'female',1,17 - 42,0,16 - 29,3,24 - 37,4,24 - 34,2,22 - 28,7,25 - 31
127,137249000000,19.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
128,137613000000,27.5,'female',1,17 - 42,0,16 - 29,3,24 - 37,4,24 - 34,2,22 - 28,7,25 - 31
129,137936000000,19.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
130,138112000000,10.35342466,'male',2,6 - 17,3,6 - 16,4,6 - 15,2,6 - 16,0,6 - 15,0,6 - 15
131,139265000000,21.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
132,139365000000,60.10951403,'female',0,42 - 86,1,51 - 86,1,56 - 86,5,50 - 64,1,51 - 64,6,52 - 65
133,139426000000,15.0,'female',2,6 - 17,3,6 - 16,4,6 - 15,2,6 - 16,0,6 - 15,0,6 - 15
134,140077000000,21.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
135,140331000000,22.5,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,2,22 - 28,2,22 - 25
136,140607000000,10.08,'male',2,6 - 17,3,6 - 16,4,6 - 15,2,6 - 16,0,6 - 15,0,6 - 15
137,140809000000,19.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
138,140896000000,19.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
139,141218000000,21.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
140,141883000000,42.0,'male',1,17 - 42,2,29 - 50,2,37 - 56,3,35 - 50,4,38 - 51,3,40 - 51
141,142069000000,19.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
142,142102000000,72.0,'male',0,42 - 86,1,51 - 86,1,56 - 86,1,65 - 86,5,65 - 86,1,65 - 86
143,142262000000,19.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
144,142381000000,21.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
145,142609000000,31.0,'female',1,17 - 42,2,29 - 50,3,24 - 37,4,24 - 34,6,28 - 38,7,25 - 31
146,142756000000,16.2,'male',2,6 - 17,3,6 - 16,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
147,142799000000,23.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,2,22 - 28,2,22 - 25
148,143185000000,25.0,'male',1,17 - 42,0,16 - 29,3,24 - 37,4,24 - 34,2,22 - 28,2,22 - 25
149,143433000000,21.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
150,143598000000,53.56605065,'female',0,42 - 86,1,51 - 86,2,37 - 56,5,50 - 64,1,51 - 64,6,52 - 65
151,143694000000,14.2,'female',2,6 - 17,3,6 - 16,4,6 - 15,2,6 - 16,0,6 - 15,0,6 - 15
152,144198000000,21.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
153,144447000000,24.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,2,22 - 28,2,22 - 25
154,144517000000,19.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
155,144550000000,19.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
156,144658000000,29.0,'female',1,17 - 42,0,16 - 29,3,24 - 37,4,24 - 34,6,28 - 38,7,25 - 31
157,144863000000,21.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
158,144960000000,23.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,2,22 - 28,2,22 - 25
159,145201000000,23.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,2,22 - 28,2,22 - 25
160,145581000000,31.0,'female',1,17 - 42,2,29 - 50,3,24 - 37,4,24 - 34,6,28 - 38,7,25 - 31
161,146015000000,19.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
162,146448000000,23.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,2,22 - 28,2,22 - 25
163,146640000000,22.5,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,2,22 - 28,2,22 - 25
164,146945000000,21.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
165,147386000000,11.0739726,'male',2,6 - 17,3,6 - 16,4,6 - 15,2,6 - 16,0,6 - 15,0,6 - 15
166,148238000000,19.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
167,148389000000,10.0,'male',2,6 - 17,3,6 - 16,4,6 - 15,2,6 - 16,0,6 - 15,0,6 - 15
168,149020000000,24.34223135,'female',1,17 - 42,0,16 - 29,0,16 - 24,4,24 - 34,2,22 - 28,2,22 - 25
169,149065000000,21.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
170,149522000000,23.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,2,22 - 28,2,22 - 25
171,149787000000,17.2,'female',2,6 - 17,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
172,149908000000,59.89322382,'female',0,42 - 86,1,51 - 86,1,56 - 86,5,50 - 64,1,51 - 64,6,52 - 65
173,150220000000,18.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
174,150529000000,29.0,'female',1,17 - 42,0,16 - 29,3,24 - 37,4,24 - 34,6,28 - 38,7,25 - 31
175,150819000000,60.59685147,'female',0,42 - 86,1,51 - 86,1,56 - 86,5,50 - 64,1,51 - 64,6,52 - 65
176,153638000000,21.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
177,153810000000,24.83,'male',1,17 - 42,0,16 - 29,3,24 - 37,4,24 - 34,2,22 - 28,2,22 - 25
178,153875000000,21.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
179,154103000000,13.01369863,'female',2,6 - 17,3,6 - 16,4,6 - 15,2,6 - 16,0,6 - 15,0,6 - 15
180,154228000000,20.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
181,154460000000,67.5,'female',0,42 - 86,1,51 - 86,1,56 - 86,1,65 - 86,5,65 - 86,1,65 - 86
182,154712000000,20.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
183,154886000000,64.0,'male',0,42 - 86,1,51 - 86,1,56 - 86,5,50 - 64,1,51 - 64,6,52 - 65
184,154927000000,21.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
185,155222000000,67.0,'female',0,42 - 86,1,51 - 86,1,56 - 86,1,65 - 86,5,65 - 86,1,65 - 86
186,155380000000,22.5,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,2,22 - 28,2,22 - 25
187,155434000000,50.02327173,'female',0,42 - 86,2,29 - 50,2,37 - 56,3,35 - 50,4,38 - 51,3,40 - 51
188,155705000000,23.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,2,22 - 28,2,22 - 25
189,156242000000,9.81917808,'female',2,6 - 17,3,6 - 16,4,6 - 15,2,6 - 16,0,6 - 15,0,6 - 15
190,156459000000,21.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
191,156821000000,19.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
192,157152000000,19.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
193,157364000000,19.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
194,157424000000,19.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
195,157479000000,19.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
196,157495000000,21.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
197,157627000000,24.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,2,22 - 28,2,22 - 25
198,157748000000,21.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
199,157913000000,21.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
200,158500000000,32.0,'female',1,17 - 42,2,29 - 50,3,24 - 37,4,24 - 34,6,28 - 38,5,31 - 39
201,158562000000,21.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
202,158783000000,7.126626,'male',2,6 - 17,3,6 - 16,4,6 - 15,2,6 - 16,0,6 - 15,0,6 - 15
203,159586000000,28.34770705,'male',1,17 - 42,0,16 - 29,3,24 - 37,4,24 - 34,6,28 - 38,7,25 - 31
204,160079000000,24.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,2,22 - 28,2,22 - 25
205,160620000000,21.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
206,161153000000,22.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,2,22 - 25
207,161374000000,21.0,'male',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
208,161820000000,25.0,'female',1,17 - 42,0,16 - 29,3,24 - 37,4,24 - 34,2,22 - 28,2,22 - 25
209,162530000000,43.0,'male',0,42 - 86,2,29 - 50,2,37 - 56,3,35 - 50,4,38 - 51,3,40 - 51
210,162644000000,15.0,'female',2,6 - 17,3,6 - 16,4,6 - 15,2,6 - 16,0,6 - 15,0,6 - 15
211,162911000000,21.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
212,162963000000,33.59342916,'male',1,17 - 42,2,29 - 50,3,24 - 37,4,24 - 34,6,28 - 38,5,31 - 39
213,163172000000,21.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
214,163330000000,25.0,'male',1,17 - 42,0,16 - 29,3,24 - 37,4,24 - 34,2,22 - 28,2,22 - 25
215,163559000000,62.08898015,'female',0,42 - 86,1,51 - 86,1,56 - 86,5,50 - 64,1,51 - 64,6,52 - 65
216,163904000000,19.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
217,164065000000,16.0,'male',2,6 - 17,3,6 - 16,0,16 - 24,2,6 - 16,3,15 - 22,4,15 - 21
218,164822000000,21.0,'female',1,17 - 42,0,16 - 29,0,16 - 24,0,16 - 24,3,15 - 22,4,15 - 21
219,165604000000,14.0,'male',2,6 - 17,3,6 - 16,4,6 - 15,2,6 - 16,0,6 - 15,0,6 - 15
